Number,Major 1,Major 2,Terms
1,Civil Engineering BS,,7
2,Legal Studies BA,,8
3,Engineering Undeclared UG,,3
4,Cognitive Science BA,,6
5,Civil Engineering BS,,3
6,Chemical Biology BS,,5
7,Bioengineering BS,,5
8,Letters & Sci Undeclared UG,,5
9,Aerospace Engineering BS,,5
10,Industrial Eng & Ops Rsch BS,,3
11,Industrial Eng & Ops Rsch BS,,7
12,Industrial Eng & Ops Rsch BS,,7
13,Mechanical Engineering BS,,7
14,Physics BA,,7
15,Industrial Eng & Ops Rsch BS,,7
16,Letters & Sci Undeclared UG,,5
17,Applied Mathematics BA,,5
18,Industrial Eng & Ops Rsch BS,,5
19,Civil Engineering BS,,3
20,Business Administration BS,Data Science BA,5
21,Chemistry BS,,5
22,Mechanical Engineering BS,,5
23,Civil Engineering BS,,5
24,Mechanical Engineering BS,,3
25,Letters & Sci Undeclared UG,,5
26,Chemical Engineering BS,,5
27,Civil Engineering BS,,5
28,Industrial Eng & Ops Rsch BS,,5
29,Aerospace Engineering BS,,5
30,Materials Science & Eng BS,,5
31,Civil Engineering BS,,5
32,Letters & Sci Undeclared UG,,5
33,Applied Mathematics BA,,5
34,Civil Engineering BS,,5
35,Civil Engineering BS,,5
36,Industrial Eng & Ops Rsch BS,,5
37,Industrial Eng & Ops Rsch BS,,5
38,Chemical Biology BS,,4
39,Chemistry BS,,3
40,Civil Engineering BS,,3
41,Bioengineering BS,,3
42,Mechanical Engineering BS,,3
43,Business Administration BS,Civil Engineering BS,3
44,Environmental Engin Sci BS,,3
45,Bioengineering BS,,3
46,Business Administration BS,Civil Engineering BS,3
47,Business Administration BS,Mechanical Engineering BS,3
48,Bioengineering BS,,3
49,Civil Engineering BS,,3
50,Bioengineering BS,,3
51,Civil Engineering BS,,3
52,Aerospace Engineering BS,,3
53,Bioengineering BS,,3
54,Mechanical Engineering BS,,3
55,Bioengineering BS,,3
56,Mechanical Engineering BS,,3
57,Civil Engineering BS,,3
58,Civil & Env Eng Prof MS,,G
59,Civil Engineering BS,,3
60,Engineering Undeclared UG,,3
61,Civil Engineering BS,,3
62,Civil Engineering BS,,3
63,Bioengineering BS,,3
64,Civil Engineering BS,,3
65,Civil Engineering BS,,3
66,Bioengineering BS,,3
67,Civil Engineering BS,,3
68,Civil Engineering BS,,3
69,Letters & Sci Undeclared UG,,3
70,Engineering Undeclared UG,,3
71,Civil Engineering BS,,3
72,Bioengineering BS,,3
73,Chemical Biology BS,,3
74,Mechanical Engineering BS,,3
75,Civil Engineering BS,,3
76,Mechanical Engineering BS,,3
77,Aerospace Engineering BS,,3
78,Civil Engineering BS,,3
79,Aerospace Engineering BS,,3
80,Civil Engineering BS,,3
81,Letters & Sci Undeclared UG,,3
82,Civil Engineering BS,,3
83,Civil Engineering BS,,3
84,Bioengineering BS,,3
85,Bioengineering BS,,3
86,Engineering Physics BS,,3
87,Civil Engineering BS,,3
88,Environmental Engin Sci BS,,3
89,Engineering Undeclared UG,,3
90,Mechanical Engineering BS,,3
